epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8835,1.55751,2.77047,1.26182,0.00724,1,0.64673,0.35237,0.80068,12.4181,0.61466,0.00024,0.00024,0.00024
2,42.6832,1.30474,1.84428,1.1165,0.00787,1,0.8736,0.53326,0.73277,12.574,0.6193,0.00049505,0.00049505,0.00049505
3,65.5808,1.31749,1.52184,1.1491,0.00785,1,0.59698,0.36159,0.76034,13.1543,0.65531,0.000744952,0.000744952,0.000744952
4,94.8286,1.28487,1.40476,1.12948,0.64514,0.74074,0.82771,0.48429,0.86821,13.9378,0.73556,0.000989706,0.000989706,0.000989706
5,120.98,1.3226,1.34016,1.12571,0.00753,0.98148,0.21075,0.06752,1.11253,11.6969,0.87637,0.00122931,0.00122931,0.00122931
6,146.038,1.34626,1.35577,1.15648,0.99502,0.96296,0.99012,0.63318,0.90532,14.6958,0.97388,0.00146377,0.00146377,0.00146377
7,169.32,1.39396,1.30397,1.19239,0.6325,0.87963,0.73916,0.41665,1.03579,92.4935,1.01307,0.00169308,0.00169308,0.00169308
8,193.3,1.39827,1.23546,1.19212,0.99378,0.93519,0.98325,0.61651,0.90093,31.6768,0.82308,0.0018614,0.0018614,0.0018614
9,221.769,1.34464,1.12863,1.1594,0.99054,0.96957,0.98681,0.56666,0.91371,7.38087,0.83298,0.0018416,0.0018416,0.0018416
10,253.11,1.31878,1.06701,1.15237,0.82333,0.60414,0.87606,0.52646,0.8776,7.272,0.79269,0.0018218,0.0018218,0.0018218
11,279.132,1.28908,0.96691,1.14182,0.97196,0.96286,0.98695,0.58695,0.9138,6.54152,0.85514,0.001802,0.001802,0.001802
12,301.968,1.32406,0.99125,1.1472,0.94575,0.96851,0.98734,0.57445,0.94621,6.77156,0.88226,0.0017822,0.0017822,0.0017822
13,324.853,1.29711,1.02851,1.12506,0.81846,0.99074,0.90412,0.55023,0.86402,58.0943,0.79979,0.0017624,0.0017624,0.0017624
14,372.51,1.27049,1.00445,1.16395,0.97456,0.35469,0.49037,0.28389,1.00424,12.2151,0.92445,0.0017426,0.0017426,0.0017426
15,446.6,1.32161,0.94223,1.17412,0.14952,0.46392,0.13717,0.07224,1.02229,56.9731,0.91315,0.0017228,0.0017228,0.0017228
16,509.878,1.29486,0.88659,1.16063,0.9698,0.53704,0.65628,0.36677,0.9423,5.70066,0.82716,0.001703,0.001703,0.001703
17,558.167,1.2518,0.84119,1.13743,0.9966,1,0.995,0.58711,0.95035,5.02063,0.8079,0.0016832,0.0016832,0.0016832
18,612.887,1.29302,0.89874,1.17226,0.99941,1,0.995,0.60562,0.93333,4.79565,0.8266,0.0016634,0.0016634,0.0016634
19,663.25,1.30326,0.86994,1.14936,0.93029,0.96296,0.95752,0.54691,0.93579,20.9231,0.83835,0.0016436,0.0016436,0.0016436
